epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.77206,0.99129,8.4351,0.01679,0.00493,1,0.32695,0.22126,0.57371,6.78035,0.00993,0.00012,0.00012,0.00012
2,16.5178,0.57169,7.49435,0.00995,0.0044,0.89189,0.36064,0.23292,0.33518,6.8381,0.00596,0.00023426,0.00023426,0.00023426
3,24.1878,0.4501,7.72371,0.00916,0.0044,0.89189,0.45329,0.29462,0.47642,6.75584,0.00884,0.0003208,0.0003208,0.0003208
4,31.6018,0.55771,7.16772,0.01031,0.00493,1,0.49101,0.33587,0.43932,6.60131,0.00797,0.00037962,0.00037962,0.00037962
5,39.022,0.38699,6.92661,0.00701,0.00493,1,0.57607,0.49296,0.32629,6.43193,0.00603,0.00041072,0.00041072,0.00041072
6,46.3983,0.60692,7.21436,0.01279,0.00493,1,0.42915,0.36594,0.3781,6.41248,0.00755,0.0004141,0.0004141,0.0004141
7,53.9938,0.58445,6.66121,0.01094,0.00493,1,0.42915,0.36594,0.3781,6.41248,0.00755,0.00038976,0.00038976,0.00038976
8,61.3273,0.5465,6.9355,0.01024,0.00493,1,0.48977,0.43097,0.41832,6.3216,0.00871,0.0003377,0.0003377,0.0003377
9,68.7111,0.53613,7.0761,0.01129,0.00493,1,0.58559,0.51897,0.43744,6.13245,0.00927,0.00025792,0.00025792,0.00025792
10,76.3012,0.50904,6.68486,0.00956,0.00493,1,0.58559,0.51897,0.43744,6.13245,0.00927,0.00015042,0.00015042,0.00015042
