epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.7124,0.65044,3.93852,0.01003,0.89777,0.58553,0.90863,0.79339,0.56242,6.0012,0.01402,0.000657005,0.000657005,0.000657005
2,78.2595,0.69158,2.55349,0.0109,0.9833,0.98148,0.99451,0.89312,0.5292,3.72043,0.01277,0.00131057,0.00131057,0.00131057
3,115.569,0.72819,1.94101,0.01162,0.99268,0.93333,0.9885,0.89272,0.50516,2.68265,0.01238,0.00195093,0.00195093,0.00195093
4,152.874,0.70136,1.55665,0.01149,1,0.9986,0.995,0.88924,0.52697,1.80808,0.01271,0.0019406,0.0019406,0.0019406
5,190.427,0.7288,1.19949,0.01145,0.91988,0.91667,0.98167,0.83554,0.65532,1.66098,0.01823,0.0019208,0.0019208,0.0019208
6,227.755,0.67177,0.96902,0.01056,0.99812,1,0.995,0.90344,0.48119,1.11829,0.01199,0.001901,0.001901,0.001901
7,266.971,0.65575,0.79124,0.01007,0.97042,1,0.99418,0.90642,0.439,0.87509,0.0103,0.0018812,0.0018812,0.0018812
8,304.078,0.62258,0.65408,0.00924,0.91261,0.98333,0.989,0.94126,0.34542,0.7344,0.00773,0.0018614,0.0018614,0.0018614
9,341.063,0.55421,0.57376,0.00824,1,0.99641,0.995,0.94126,0.34136,0.51077,0.00795,0.0018416,0.0018416,0.0018416
10,379.094,0.54804,0.50472,0.0083,0.98353,0.99535,0.99451,0.93672,0.38791,0.45334,0.00928,0.0018218,0.0018218,0.0018218
11,416.67,0.5569,0.47566,0.00848,1,0.99699,0.995,0.96992,0.28095,0.34641,0.00671,0.001802,0.001802,0.001802
12,454.185,0.5405,0.41606,0.00789,0.96629,0.95549,0.99206,0.89514,0.45323,0.43452,0.01169,0.0017822,0.0017822,0.0017822
13,492.419,0.59677,0.41815,0.00923,0.99486,1,0.995,0.94885,0.3194,0.32142,0.00727,0.0017624,0.0017624,0.0017624
